date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:41	4612/4612	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2006:10:02%20GMT	https://opimg-gce.tradeindia.com/05907683/s/4/Kitchen-Chimney-Exhaust-Duct.jpg	F:/http___www.aircarecoolingandexhaust.com_/opimg-gce.tradeindia.com/05907683/s/4/Kitchen-Chimney-Exhaust-Duct.jpg	(from http://www.aircarecoolingandexhaust.com/contact-us.html?ID_112235_1339_5907683=1)
16:59:43	3334/3334	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Aug%202022%2011:26:54%20GMT	https://st.tistatic.com/ver9334/css/catalog/sitemap.css	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/css/catalog/sitemap.css	(from http://www.aircarecoolingandexhaust.com/sitemap.html)
16:59:44	106557/106557	---M-Z	200	added ('OK')	text/css	etag:%221660735614-18ffeb7cbd66c4afb9904b01445cd327%22	https://st.tistatic.com/ver9334/combine_css_js.php?type=css&files=tradeindia/design_ver3/inner_media.css,design_ver3/tradeindia.css,tradeindia/design_ver3/tradeindia_new_raw.css,design_ver3/inquiry_form/form-popup.css,design_ver3/inquiry_form/form.css,tradeindia/design_ver4/tradeindia_top_header.css,tradeindia/design_ver4/tradeindia_footer.css,tradeindia/design_ver4/media.css	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/combine_css_js74fa.css	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:44	6974/6974	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202022%2011:26:54%20GMT	https://st.tistatic.com/ver9334/js/c2c/CallmePopup.js	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/js/c2c/CallmePopup.js	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:44	1154/1154	---M-Z	200	added ('OK')	text/css	etag:%221660735614-fc8c0317ac25be45878862875b6f2c86%22	https://st.tistatic.com/ver9334/combine_css_js.php?type=css&files=search.css	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/combine_css_jsc64b.css	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:44	2072/2072	---M-Z	200	added ('OK')	text/javascript	etag:%221660735615-11ae61aaf1ae41cdb2d6aa4d14e50079%22	https://st.tistatic.com/ver9334/combine_css_js.php?type=javascript&files=design_ver3/search.js	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/combine_css_js6da1.php	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:44	12993/12993	---M-Z	200	added ('OK')	text/css	etag:%221660735614-2d5594b8fbb7517b116cddd330219fd3%22	https://st.tistatic.com/ver9334/combine_css_js.php?type=css&files=tradeindia/design_ver4/intlTelInput.css	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/combine_css_jscc4f.css	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:45	15900/15900	---M-Z	200	added ('OK')	text/javascript	etag:%221660735616-d96b3caeb587a22593535407fb82ba15%22	https://st.tistatic.com/ver9334/combine_css_js.php?type=javascript&files=utils/common.js,utils/validation_lib.js	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/combine_css_js56b2.php	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:45	7970/7970	---M--	200	added ('OK')	image/gif	date:Wed,%2017%20Aug%202022%2011:26:55%20GMT	https://st.tistatic.com/ver9334/js/utils/jquery-ui/images/pbar-ani.gif	F:/http___www.aircarecoolingandexhaust.com_/st.tistatic.com/ver9334/js/utils/jquery-ui/images/pbar-ani.gif	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
16:59:45	5936/5936	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20May%202014%2006:34:19%20GMT	https://tiimg.tistatic.com/new_website1/common/send-sms.jpg	F:/http___www.aircarecoolingandexhaust.com_/tiimg.tistatic.com/new_website1/common/send-sms.jpg	(from http://www.aircarecoolingandexhaust.com/utils/sms_now.html?id=ID__12274510__8942952__CATALOG__1339__Catalogs)
